inventory_id,product_id,size,colour,stock,sku,status
INV0085,TS006,XXL,Grey,6,TS006-XXL-GRY,active
INV0086,TS006,XXL,Blue,12,TS006-XXL-BLU,active
INV0087,TS007,XS,Blue,0,TS007-XS-BLU,active
INV0088,TS007,XS,Beige,10,TS007-XS-BEI,active
INV0089,TS007,S,Blue,18,TS007-S-BLU,active
INV0090,TS007,S,Beige,24,TS007-S-BEI,active
INV0091,TS007,M,Blue,10,TS007-M-BLU,active
INV0092,TS007,M,Beige,16,TS007-M-BEI,active
INV0093,TS007,L,Blue,24,TS007-L-BLU,active
INV0094,TS007,L,Beige,8,TS007-L-BEI,active
INV0095,TS007,XL,Blue,16,TS007-XL-BLU,active
INV0096,TS007,XL,Beige,22,TS007-XL-BEI,active
INV0097,TS007,XXL,Blue,8,TS007-XXL-BLU,active
INV0098,TS007,XXL,Beige,14,TS007-XXL-BEI,active
INV0099,SH001,XS,Beige,14,SH001-XS-BEI,active
INV0100,SH001,XS,White,20,SH001-XS-WHT,active
INV0101,SH001,XS,Olive,0,SH001-XS-OLV,active
INV0102,SH001,S,Beige,6,SH001-S-BEI,active
INV0103,SH001,S,White,12,SH001-S-WHT,active
INV0104,SH001,S,Olive,18,SH001-S-OLV,active
INV0105,SH001,M,Beige,20,SH001-M-BEI,active
INV0106,SH001,M,White,0,SH001-M-WHT,active
INV0107,SH001,M,Olive,10,SH001-M-OLV,active
INV0108,SH001,L,Beige,12,SH001-L-BEI,active
INV0109,SH001,L,White,18,SH001-L-WHT,active
INV0110,SH001,L,Olive,24,SH001-L-OLV,active
INV0111,SH001,XL,Beige,0,SH001-XL-BEI,active
INV0112,SH001,XL,White,10,SH001-XL-WHT,active
INV0113,SH001,XL,Olive,16,SH001-XL-OLV,active
INV0114,SH001,XXL,Beige,18,SH001-XXL-BEI,active
INV0115,SH001,XXL,White,24,SH001-XXL-WHT,active
INV0116,SH001,XXL,Olive,8,SH001-XXL-OLV,active
INV0117,SH002,XS,Blue,16,SH002-XS-BLU,active
INV0118,SH002,XS,Black,22,SH002-XS-BLK,active
INV0119,SH002,XS,White,6,SH002-XS-WHT,active
INV0120,SH002,S,Blue,8,SH002-S-BLU,active
INV0121,SH002,S,Black,14,SH002-S-BLK,active
INV0122,SH002,S,White,20,SH002-S-WHT,active
INV0123,SH002,M,Blue,22,SH002-M-BLU,active
INV0124,SH002,M,Black,6,SH002-M-BLK,active
INV0125,SH002,M,White,12,SH002-M-WHT,active
INV0126,SH002,L,Blue,14,SH002-L-BLU,active
INV0127,SH002,L,Black,20,SH002-L-BLK,active
INV0128,SH002,L,White,0,SH002-L-WHT,active
INV0129,SH002,XL,Blue,6,SH002-XL-BLU,active
INV0130,SH002,XL,Black,12,SH002-XL-BLK,active
INV0131,SH002,XL,White,18,SH002-XL-WHT,active
INV0132,SH002,XXL,Blue,20,SH002-XXL-BLU,active
INV0133,SH002,XXL,Black,0,SH002-XXL-BLK,active
INV0134,SH002,XXL,White,10,SH002-XXL-WHT,active
INV0135,SH003,XS,Blue,18,SH003-XS-BLU,active
INV0136,SH003,XS,White,24,SH003-XS-WHT,active
INV0137,SH003,S,Blue,10,SH003-S-BLU,active
INV0138,SH003,S,White,16,SH003-S-WHT,active
INV0139,SH003,M,Blue,24,SH003-M-BLU,active
INV0140,SH003,M,White,8,SH003-M-WHT,active
INV0141,SH003,L,Blue,16,SH003-L-BLU,active
INV0142,SH003,L,White,22,SH003-L-WHT,active
INV0143,SH003,XL,Blue,8,SH003-XL-BLU,active
INV0144,SH003,XL,White,14,SH003-XL-WHT,active
INV0145,SH003,XXL,Blue,22,SH003-XXL-BLU,active
INV0146,SH003,XXL,White,6,SH003-XXL-WHT,active
INV0147,SH004,XS,Black,20,SH004-XS-BLK,active
INV0148,SH004,XS,Olive,0,SH004-XS-OLV,active
INV0149,SH004,S,Black,12,SH004-S-BLK,active
INV0150,SH004,S,Olive,18,SH004-S-OLV,active
INV0151,SH004,M,Black,0,SH004-M-BLK,active
INV0152,SH004,M,Olive,10,SH004-M-OLV,active
INV0153,SH004,L,Black,18,SH004-L-BLK,active
INV0154,SH004,L,Olive,24,SH004-L-OLV,active
INV0155,SH004,XL,Black,10,SH004-XL-BLK,active
INV0156,SH004,XL,Olive,16,SH004-XL-OLV,active
INV0157,SH004,XXL,Black,24,SH004-XXL-BLK,active
INV0158,SH004,XXL,Olive,8,SH004-XXL-OLV,active
INV0159,SH005,S,Olive,22,SH005-S-OLV,active
INV0160,SH005,S,Beige,6,SH005-S-BEI,active
INV0161,SH005,M,Olive,14,SH005-M-OLV,active
INV0162,SH005,M,Beige,20,SH005-M-BEI,active
INV0163,SH005,L,Olive,6,SH005-L-OLV,active
INV0164,SH005,L,Beige,12,SH005-L-BEI,active
INV0165,SH005,XL,Olive,20,SH005-XL-OLV,active
INV0166,SH005,XL,Beige,0,SH005-XL-BEI,active
INV0167,SH006,XS,Blue,24,SH006-XS-BLU,active
INV0168,SH006,XS,White,8,SH006-XS-WHT,active
INV0169,SH006,S,Blue,16,SH006-S-BLU,active
INV0170,SH006,S,White,22,SH006-S-WHT,active
INV0171,SH006,M,Blue,8,SH006-M-BLU,active
INV0172,SH006,M,White,14,SH006-M-WHT,active
INV0173,SH006,L,Blue,22,SH006-L-BLU,active
INV0174,SH006,L,White,6,SH006-L-WHT,active
INV0175,SH006,XL,Blue,14,SH006-XL-BLU,active
INV0176,SH006,XL,White,20,SH006-XL-WHT,active
INV0177,SH006,XXL,Blue,6,SH006-XXL-BLU,active
INV0178,SH006,XXL,White,12,SH006-XXL-WHT,active
INV0179,SO001,UK 6,White,14,SO001-UK6-WHT,active
INV0180,SO001,UK 7,White,6,SO001-UK7-WHT,active
INV0181,SO001,UK 8,White,20,SO001-UK8-WHT,active
INV0182,SO001,UK 9,White,12,SO001-UK9-WHT,active
INV0183,SO001,UK 10,White,0,SO001-UK10-WHT,active
INV0184,SO001,UK 11,White,18,SO001-UK11-WHT,active
INV0185,SO002,UK 6,Black,16,SO002-UK6-BLK,active
INV0186,SO002,UK 6,Grey,22,SO002-UK6-GRY,active
INV0187,SO002,UK 7,Black,8,SO002-UK7-BLK,active
INV0188,SO002,UK 7,Grey,14,SO002-UK7-GRY,active
INV0189,SO002,UK 8,Black,22,SO002-UK8-BLK,active
INV0190,SO002,UK 8,Grey,6,SO002-UK8-GRY,active
INV0191,SO002,UK 9,Black,14,SO002-UK9-BLK,active
INV0192,SO002,UK 9,Grey,20,SO002-UK9-GRY,active
INV0193,SO002,UK 10,Black,6,SO002-UK10-BLK,active
INV0194,SO002,UK 10,Grey,12,SO002-UK10-GRY,active
INV0195,SO002,UK 11,Black,20,SO002-UK11-BLK,active
INV0196,SO002,UK 11,Grey,0,SO002-UK11-GRY,active
INV0197,SO003,UK 6,Blue,18,SO003-UK6-BLU,active
INV0198,SO003,UK 6,Beige,24,SO003-UK6-BEI,active
INV0199,SO003,UK 7,Blue,10,SO003-UK7-BLU,active
INV0200,SO003,UK 7,Beige,16,SO003-UK7-BEI,active
INV0201,SO003,UK 8,Blue,24,SO003-UK8-BLU,active
INV0202,SO003,UK 8,Beige,8,SO003-UK8-BEI,active
INV0203,SO003,UK 9,Blue,16,SO003-UK9-BLU,active
INV0204,SO003,UK 9,Beige,22,SO003-UK9-BEI,active
INV0205,SO003,UK 10,Blue,8,SO003-UK10-BLU,active
INV0206,SO003,UK 10,Beige,14,SO003-UK10-BEI,active
INV0207,SO003,UK 11,Blue,22,SO003-UK11-BLU,active
INV0208,SO003,UK 11,Beige,6,SO003-UK11-BEI,active
INV0209,SO004,UK 6,White,20,SO004-UK6-WHT,active
INV0210,SO004,UK 6,Black,0,SO004-UK6-BLK,active
INV0211,SO004,UK 7,White,12,SO004-UK7-WHT,active
INV0212,SO004,UK 7,Black,18,SO004-UK7-BLK,active
INV0213,SO004,UK 8,White,0,SO004-UK8-WHT,active
INV0214,SO004,UK 8,Black,10,SO004-UK8-BLK,active
INV0215,SO004,UK 9,White,18,SO004-UK9-WHT,active
INV0216,SO004,UK 9,Black,24,SO004-UK9-BLK,active
INV0217,SO004,UK 10,White,10,SO004-UK10-WHT,active
INV0218,SO004,UK 10,Black,16,SO004-UK10-BLK,active
INV0219,SO004,UK 11,White,24,SO004-UK11-WHT,active
INV0220,SO004,UK 11,Black,8,SO004-UK11-BLK,active
INV0221,SO005,UK 6,Blue,22,SO005-UK6-BLU,active
INV0222,SO005,UK 6,Black,6,SO005-UK6-BLK,active
INV0223,SO005,UK 7,Blue,14,SO005-UK7-BLU,active
INV0224,SO005,UK 7,Black,20,SO005-UK7-BLK,active
INV0225,SO005,UK 8,Blue,6,SO005-UK8-BLU,active
INV0226,SO005,UK 8,Black,12,SO005-UK8-BLK,active
INV0227,SO005,UK 9,Blue,20,SO005-UK9-BLU,active
INV0228,SO005,UK 9,Black,0,SO005-UK9-BLK,active
INV0229,SO005,UK 10,Blue,12,SO005-UK10-BLU,active
INV0230,SO005,UK 10,Black,18,SO005-UK10-BLK,active
INV0231,SO005,UK 11,Blue,0,SO005-UK11-BLU,active
INV0232,SO005,UK 11,Black,10,SO005-UK11-BLK,active
INV0233,SO006,UK 6,Black,24,SO006-UK6-BLK,active
INV0234,SO006,UK 7,Black,16,SO006-UK7-BLK,active
INV0235,SO006,UK 8,Black,8,SO006-UK8-BLK,active
INV0236,SO006,UK 9,Black,22,SO006-UK9-BLK,active
INV0237,SO006,UK 10,Black,14,SO006-UK10-BLK,active
INV0238,SO006,UK 11,Black,6,SO006-UK11-BLK,active
INV0239,TR001,28,Beige,14,TR001-28-BEI,active
INV0240,TR001,28,Olive,20,TR001-28-OLV,active
INV0241,TR001,28,Black,0,TR001-28-BLK,active
INV0242,TR001,30,Beige,6,TR001-30-BEI,active
INV0243,TR001,30,Olive,12,TR001-30-OLV,active
INV0244,TR001,30,Black,18,TR001-30-BLK,active
INV0245,TR001,32,Beige,20,TR001-32-BEI,active
INV0246,TR001,32,Olive,0,TR001-32-OLV,active
INV0247,TR001,32,Black,10,TR001-32-BLK,active
INV0248,TR001,34,Beige,12,TR001-34-BEI,active
INV0249,TR001,34,Olive,18,TR001-34-OLV,active
INV0250,TR001,34,Black,24,TR001-34-BLK,active
INV0251,TR001,36,Beige,0,TR001-36-BEI,active
INV0252,TR001,36,Olive,10,TR001-36-OLV,active
INV0253,TR001,36,Black,16,TR001-36-BLK,active
INV0254,TR002,28,Grey,16,TR002-28-GRY,active
INV0255,TR002,28,Black,22,TR002-28-BLK,active
INV0256,TR002,30,Grey,8,TR002-30-GRY,active
INV0257,TR002,30,Black,14,TR002-30-BLK,active
INV0258,TR002,32,Grey,22,TR002-32-GRY,active
INV0259,TR002,32,Black,6,TR002-32-BLK,active
INV0260,TR002,34,Grey,14,TR002-34-GRY,active
INV0261,TR002,34,Black,20,TR002-34-BLK,active
INV0262,TR002,36,Grey,6,TR002-36-GRY,active
INV0263,TR002,36,Black,12,TR002-36-BLK,active
INV0264,TR003,28,Grey,18,TR003-28-GRY,active
INV0265,TR003,28,Beige,24,TR003-28-BEI,active
INV0266,TR003,30,Grey,10,TR003-30-GRY,active
INV0267,TR003,30,Beige,16,TR003-30-BEI,active
INV0268,TR003,32,Grey,24,TR003-32-GRY,active
INV0269,TR003,32,Beige,8,TR003-32-BEI,active
INV0270,TR003,34,Grey,16,TR003-34-GRY,active
INV0271,TR003,34,Beige,22,TR003-34-BEI,active
INV0272,TR004,28,Black,20,TR004-28-BLK,active
INV0273,TR004,28,Grey,0,TR004-28-GRY,active
INV0274,TR004,30,Black,12,TR004-30-BLK,active
INV0275,TR004,30,Grey,18,TR004-30-GRY,active
INV0276,TR004,32,Black,0,TR004-32-BLK,active
INV0277,TR004,32,Grey,10,TR004-32-GRY,active
INV0278,TR004,34,Black,18,TR004-34-BLK,active
INV0279,TR004,34,Grey,24,TR004-34-GRY,active
INV0280,TR004,36,Black,10,TR004-36-BLK,active
INV0281,TR004,36,Grey,16,TR004-36-GRY,active
INV0282,TR004,38,Black,24,TR004-38-BLK,active
INV0283,TR004,38,Grey,8,TR004-38-GRY,active
INV0284,TR005,28,Olive,22,TR005-28-OLV,active
INV0285,TR005,28,Black,6,TR005-28-BLK,active
INV0286,TR005,28,Beige,12,TR005-28-BEI,active
INV0287,TR005,30,Olive,14,TR005-30-OLV,active
INV0288,TR005,30,Black,20,TR005-30-BLK,active
INV0289,TR005,30,Beige,0,TR005-30-BEI,active
INV0290,TR005,32,Olive,6,TR005-32-OLV,active
INV0291,TR005,32,Black,12,TR005-32-BLK,active
INV0292,TR005,32,Beige,18,TR005-32-BEI,active
INV0293,TR005,34,Olive,20,TR005-34-OLV,active
INV0294,TR005,34,Black,0,TR005-34-BLK,active
INV0295,TR005,34,Beige,10,TR005-34-BEI,active
INV0296,TR005,36,Olive,12,TR005-36-OLV,active
INV0297,TR005,36,Black,18,TR005-36-BLK,active
INV0298,TR005,36,Beige,24,TR005-36-BEI,active
INV0299,TR006,28,Blue,24,TR006-28-BLU,active
INV0300,TR006,28,Black,8,TR006-28-BLK,active
INV0301,TR006,30,Blue,16,TR006-30-BLU,active
INV0302,TR006,30,Black,22,TR006-30-BLK,active
INV0303,TR006,32,Blue,8,TR006-32-BLU,active
INV0304,TR006,32,Black,14,TR006-32-BLK,active
INV0305,TR006,34,Blue,22,TR006-34-BLU,active
INV0306,TR006,34,Black,6,TR006-34-BLK,active
INV0307,TR006,36,Blue,14,TR006-36-BLU,active
INV0308,TR006,36,Black,20,TR006-36-BLK,active
