product_id,name,slug,category,subcategory,price,compare_at_price,description,short_description,fabric,fit,care,badge,status,featured,image_1,image_2,image_3,image_4,sizes,colours,tags,created_at,updated_at
SH004,Black Utility Shirt,black-utility-shirt,Shirts,Utility,1249,,A structured overshirt with twin chest pockets. Heavier cotton twill so it layers like a light jacket.,Overshirt with twin pockets,100% Cotton Twill,Relaxed,Machine wash cold. Do not bleach. Dry in shade.,,active,TRUE,https://images.pexels.com/photos/11576957/pexels-photo-11576957.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/8972551/pexels-photo-8972551.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,,,"XS,S,M,L,XL,XXL","Black,Olive","utility,overshirt,shirt",2025-02-14,2025-02-14
SH005,Sage Camp Collar Shirt,sage-camp-collar-shirt,Shirts,Camp Collar,1149,,A soft camp-collar shirt in muted sage. Relaxed through the body with a straight hem.,Soft camp-collar summer shirt,100% Cotton,Relaxed,Machine wash cold. Do not bleach. Dry in shade.,,active,FALSE,https://images.pexels.com/photos/17715647/pexels-photo-17715647.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/37741918/pexels-photo-37741918.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,,,"S,M,L,XL","Olive,Beige","camp collar,summer,shirt",2025-03-10,2025-03-10
SH006,Printed Resort Shirt,printed-resort-shirt,Shirts,Printed,1349,1699,A relaxed resort shirt in a breathable viscose blend with an all-over leaf print. Made for holidays and Sunday brunches.,Relaxed printed resort shirt,70% Viscose 30% Cotton,Relaxed,Hand wash cold. Do not wring.,LIMITED,active,FALSE,https://images.pexels.com/photos/30710542/pexels-photo-30710542.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/37741918/pexels-photo-37741918.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,,,"XS,S,M,L,XL,XXL","Blue,White","printed,resort,summer,shirt",2025-03-22,2025-03-22
SO001,Court White Sneakers,court-white-sneakers,Shoes,Sneakers,1999,2499,A minimal white court sneaker with a cushioned insole and a durable rubber cup sole. Goes with everything.,Minimal white court sneaker,"PU Leather Upper, Rubber Sole",True to size,Wipe with a soft dry cloth. Keep away from direct heat.,BESTSELLER,active,TRUE,https://images.pexels.com/photos/12628400/pexels-photo-12628400.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/18375077/pexels-photo-18375077.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,,,"UK 6,UK 7,UK 8,UK 9,UK 10,UK 11",White,"sneakers,white,minimal,shoes",2025-01-15,2025-01-15
SO002,Street Black Runners,street-black-runners,Shoes,Runners,2199,,A lightweight everyday runner with a breathable knit upper and a soft EVA midsole for all-day comfort.,Lightweight everyday runner,"Knit Upper, EVA Midsole",True to size,Spot clean with mild soap.,,active,FALSE,https://images.pexels.com/photos/18972408/pexels-photo-18972408.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/19271383/pexels-photo-19271383.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,,,"UK 6,UK 7,UK 8,UK 9,UK 10,UK 11","Black,Grey","runners,sneakers,black,shoes",2025-02-08,2025-02-08
SO003,Navy Suede Low-Tops,navy-suede-low-tops,Shoes,Sneakers,2399,2899,A soft suede low-top with tonal laces and a natural gum sole. A quiet upgrade to the everyday sneaker.,Soft suede low-top sneaker,"Suede Upper, Gum Rubber Sole",True to size,Brush gently. Use suede protector.,NEW,active,TRUE,https://images.pexels.com/photos/20755674/pexels-photo-20755674.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/13580587/pexels-photo-13580587.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,,,"UK 6,UK 7,UK 8,UK 9,UK 10,UK 11","Blue,Beige","suede,sneakers,low top,shoes",2025-03-08,2025-03-08
SO004,Retro High-Tops,retro-high-tops,Shoes,High-Tops,2499,,"A padded retro high-top with a chunky rubber sole. Extra ankle support and a bold, easy silhouette.",Padded retro high-top,"Canvas & PU Upper, Rubber Sole",Runs half size large,Spot clean with mild soap.,,active,FALSE,https://images.pexels.com/photos/4273288/pexels-photo-4273288.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/18375077/pexels-photo-18375077.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,,,"UK 6,UK 7,UK 8,UK 9,UK 10,UK 11","White,Black","high top,retro,sneakers,shoes",2025-02-20,2025-02-20
SO005,Ocean Blue Trainers,ocean-blue-trainers,Shoes,Trainers,1899,2299,"Everyday mesh trainers in ocean blue. Breathable, light and easy on long walks.",Everyday mesh trainers,"Mesh Upper, EVA Sole",True to size,Spot clean with mild soap.,,active,FALSE,https://images.pexels.com/photos/13580587/pexels-photo-13580587.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/8979071/pexels-photo-8979071.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,,,"UK 6,UK 7,UK 8,UK 9,UK 10,UK 11","Blue,Black","trainers,mesh,blue,shoes",2025-02-28,2025-02-28
SO006,Classic Court Black,classic-court-black,Shoes,Sneakers,1999,,"The court sneaker in all black. Clean lines, cushioned insole and a durable cup sole.",Black leather court sneaker,"PU Leather Upper, Rubber Sole",True to size,Wipe with a soft dry cloth. Keep away from direct heat.,,active,TRUE,https://images.pexels.com/photos/19271383/pexels-photo-19271383.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/18972408/pexels-photo-18972408.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,,,"UK 6,UK 7,UK 8,UK 9,UK 10,UK 11",Black,"sneakers,black,minimal,shoes",2025-03-12,2025-03-12
TR001,Relaxed Beige Chinos,relaxed-beige-chinos,Trousers,Chinos,1499,1899,Everyday relaxed chinos in a soft brushed cotton twill. Straight through the leg with a comfortable mid rise.,Everyday relaxed chinos,98% Cotton 2% Elastane,Relaxed Straight,Machine wash cold. Do not bleach. Dry in shade.,BESTSELLER,active,TRUE,https://images.pexels.com/photos/10341113/pexels-photo-10341113.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/20574052/pexels-photo-20574052.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,,,"28,30,32,34,36","Beige,Olive,Black","chinos,relaxed,everyday,trousers",2025-01-18,2025-01-18
TR002,Charcoal Pleated Trousers,charcoal-pleated-trousers,Trousers,Pleated,1699,,"Single-pleat wide-leg trousers in a drapey charcoal blend. Elegant enough for evenings, relaxed enough for every day.",Wide-leg pleated trousers,65% Polyester 35% Viscose,Wide Leg,Dry clean or gentle machine wash.,NEW,active,TRUE,https://images.pexels.com/photos/20574052/pexels-photo-20574052.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/7256412/pexels-photo-7256412.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,,,"28,30,32,34,36","Grey,Black","pleated,wide leg,smart,trousers",2025-03-01,2025-03-01
TR003,Checked Cotton Trousers,checked-cotton-trousers,Trousers,Printed,1599,1999,Straight-leg trousers in a subtle check. Light cotton blend with a touch of stretch.,Subtle checked straight trousers,97% Cotton 3% Elastane,Straight,Machine wash cold. Do not bleach. Dry in shade.,,active,FALSE,https://images.pexels.com/photos/18471580/pexels-photo-18471580.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/2897533/pexels-photo-2897533.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,,,"28,30,32,34","Grey,Beige","checked,straight,trousers",2025-02-12,2025-02-12
TR004,Black Everyday Trousers,black-everyday-trousers,Trousers,Basic,1399,,Clean straight black trousers with a flat front and a comfortable elasticated back waistband.,Clean straight black trousers,100% Cotton,Straight,Machine wash cold. Do not bleach. Dry in shade.,,active,TRUE,https://images.pexels.com/photos/7256412/pexels-photo-7256412.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/29616932/pexels-photo-29616932.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,,,"28,30,32,34,36,38","Black,Grey","black,everyday,basic,trousers",2025-01-30,2025-01-30
TR005,Olive Cargo Trousers,olive-cargo-trousers,Trousers,Cargo,1799,2199,Relaxed cargo trousers with two side pockets and an adjustable drawcord hem. Sturdy cotton ripstop.,Relaxed cargo with side pockets,100% Cotton Ripstop,Relaxed,Machine wash cold. Do not bleach. Dry in shade.,LIMITED,active,FALSE,https://images.pexels.com/photos/29616932/pexels-photo-29616932.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/18471580/pexels-photo-18471580.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,,,"28,30,32,34,36","Olive,Black,Beige","cargo,relaxed,utility,trousers",2025-03-18,2025-03-18
TR006,Tapered Navy Trousers,tapered-navy-trousers,Trousers,Tapered,1549,,Smart tapered trousers in deep navy. Slim through the thigh with a gentle taper to the ankle.,Smart tapered trousers,70% Cotton 28% Polyester 2% Elastane,Tapered,Machine wash cold. Do not bleach. Dry in shade.,,active,FALSE,https://images.pexels.com/photos/2897533/pexels-photo-2897533.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/10341113/pexels-photo-10341113.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,,,"28,30,32,34,36","Blue,Black","tapered,smart,trousers",2025-02-24,2025-02-24
